GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290156001","Block Group 1, Census Tract 156, Erie County, New York",42500,10657,1130,170,0,"0"
"360290031004","Block Group 4, Census Tract 31, Erie County, New York",,,459,207,9,"1961"
"360290164002","Block Group 2, Census Tract 164, Erie County, New York",46292,7413,467,252,11,"2355"
"360290106002","Block Group 2, Census Tract 106, Erie County, New York",54375,17605,1385,219,0,"0"
"360290039011","Block Group 1, Census Tract 39.01, Erie County, New York",21128,12330,913,264,38,"4162"
"360290066013","Block Group 3, Census Tract 66.01, Erie County, New York",48179,12073,623,239,19,"3050"
"360290145011","Block Group 1, Census Tract 145.01, Erie County, New York",75985,17671,1922,315,0,"0"
"360290090072","Block Group 2, Census Tract 90.07, Erie County, New York",170446,56083,1435,452,1,"70"
"360290132022","Block Group 2, Census Tract 132.02, Erie County, New York",130167,27741,1382,232,0,"0"
"360290175022","Block Group 2, Census Tract 175.02, Erie County, New York",63359,13211,1193,306,0,"0"
"360290078002","Block Group 2, Census Tract 78, Erie County, New York",47500,32949,2117,807,0,"0"
"360290079031","Block Group 1, Census Tract 79.03, Erie County, New York",72350,13139,1311,220,1,"76"
"360290165002","Block Group 2, Census Tract 165, Erie County, New York",62708,19959,556,90,15,"2698"
"360290138021","Block Group 1, Census Tract 138.02, Erie County, New York",71863,10183,1644,477,0,"0"
"360290153011","Block Group 1, Census Tract 153.01, Erie County, New York",73203,22881,1181,250,0,"0"
"360290132012","Block Group 2, Census Tract 132.01, Erie County, New York",59516,29194,945,430,0,"0"
"360290063014","Block Group 4, Census Tract 63.01, Erie County, New York",81601,19904,1837,593,15,"817"
"360290023001","Block Group 1, Census Tract 23, Erie County, New York",36719,18321,1003,359,36,"3589"
"360290071022","Block Group 2, Census Tract 71.02, Erie County, New York",,,746,182,21,"2815"
"360290130024","Block Group 4, Census Tract 130.02, Erie County, New York",27692,11889,1726,492,0,"0"
"360290079053","Block Group 3, Census Tract 79.05, Erie County, New York",73365,55629,652,302,0,"0"
"360290070001","Block Group 1, Census Tract 70, Erie County, New York",43731,21127,943,373,45,"4772"
"360290048001","Block Group 1, Census Tract 48, Erie County, New York",75905,6797,1022,289,11,"1076"
"360290011001","Block Group 1, Census Tract 11, Erie County, New York",40370,15681,1361,388,30,"2204"
